Wavelength (nm),BLANK1,L470JUNE2022,L377JUNE2422,L375JUNE1722,L222JUNE2822,BLANK2,L378JUNE2722,L373JUNE1022,L373JUNE2722,L442JUNE822,L114JUNE1022,L114JULY122,L224JUNE2922,L626JUNE622,BLANK3,L239JUNE322
799.9591064,0.000202294,0.000437952,0.00087007,5.79E-05,0.000631066,-0.001227227,-0.000599261,0.000848931,-0.000740742,0.000292532,0.000386753,-0.001159798,-0.001112809,-0.000228047,8.34E-05,0.000384732
798.9870605,6.29E-05,0.000533397,0.000918577,6.98E-05,0.00065445,-0.001183033,-0.000722291,0.000517225,-0.000517721,-6.16E-06,0.000204237,-0.001051767,-0.000912866,-0.000419771,0.000263884,0.000544568
798.0146484,5.02E-05,0.000864882,0.001070746,0.000386779,0.000840606,-0.001671549,-0.001141313,-0.000442425,-0.001030797,-0.000427012,-0.000465129,-0.001834747,-0.001434197,-0.001346982,-0.000225977,0.000142603
797.0418701,0.000265904,0.000536818,0.001201164,0.000281005,0.001069864,-0.001037254,-0.00054735,0.000311934,-0.00051224,-0.000271355,-0.000284031,-0.001583763,-0.001305536,-0.000736039,1.81E-05,0.000441917
796.0687256,0.000157804,0.000590653,0.000675035,-2.61E-05,0.000921638,-0.001335111,-0.000894577,0.00017101,-0.000893441,-0.000467353,3.61E-05,-0.001809279,-0.001717034,-0.000706733,3.57E-05,0.000507636
794.9560547,-6.54E-05,0.001125374,0.000890484,8.78E-06,0.000926048,-0.001137079,-0.000975891,0.000453163,-0.000719706,-0.000189858,0.000509139,-0.001531042,-0.001439873,-0.000880937,0.000366596,-6.19E-05
793.9821167,0.000265412,0.00112989,0.000941846,0.000522667,0.000855312,-0.001611411,-0.001732453,6.44E-05,-0.001119728,-0.000700995,-0.000314142,-0.002064204,-0.001743436,-0.001202084,-5.30E-05,0.00031367
793.0077515,0.000114069,0.00084032,0.000762363,0.00039976,0.000937669,-0.000836605,-0.000782345,0.00024047,-0.000712315,4.29E-05,5.73E-05,-0.001159591,-0.000586904,-0.000967109,-0.000942778,0.000173497
792.03302,4.15E-05,0.001033613,0.001405135,0.000602785,0.000985457,-0.001617033,-0.000722342,0.000443705,-0.001203994,-0.000306071,3.79E-05,-0.001463557,-0.001558951,-0.000928417,-0.000378185,-7.80E-05
791.0579224,9.30E-05,0.000677887,0.000665676,0.000284839,0.00077883,-0.001039268,-0.000955538,0.000266811,-0.000753921,-0.000364425,0.000423131,-0.001454631,-0.001248548,-0.000479764,0.00033183,0.000565951
789.9431152,0.000567714,0.000775433,0.001233456,-0.000378805,0.000808653,-0.00140179,-0.000718673,0.00032569,-0.000425926,-0.000449976,0.000418182,-0.001358801,-0.000994228,-0.000234671,-0.000305709,0.000412611
788.9672241,0.00026018,0.001381061,0.001196569,0.000867554,0.001599251,-0.001465569,-0.000909302,2.51E-05,-0.001037925,-0.000470145,0.000202527,-0.001554514,-0.001147406,-0.001138421,4.91E-05,0.000717712
787.9909058,-0.000212938,0.000662072,0.000622823,0.000285176,0.001023079,-0.001558641,-0.001077073,-6.32E-05,-0.001220051,-0.001053987,-0.000458923,-0.001893669,-0.001321898,-0.001399932,0.000212938,2.59E-05
787.0142822,0.000718334,0.000651961,0.00076602,0.000125565,0.001172274,-0.001947945,-0.001557971,-0.000230634,-0.00167748,-0.000791027,-0.000377719,-0.002162402,-0.001836913,-0.00123306,6.07E-05,0.000107414
786.0372925,0.000183985,0.000425152,0.000498487,0.000305355,0.00105611,-0.001264396,-0.000789012,2.67E-05,-0.000856395,-0.000237051,-5.67E-05,-0.001251955,-0.000959103,-0.001008175,-0.000258317,6.52E-05
785.0598755,5.41E-05,0.000766564,0.000812258,0.000343669,0.001480766,-0.002076467,-0.001156958,-0.000312021,-0.00144911,-0.000877682,-0.000423598,-0.001740703,-0.001591604,-0.001360401,-0.000404254,0.000402506
783.9424438,-8.48E-05,0.000815526,0.001241088,3.00E-05,0.000944674,-0.001224645,-0.001178283,9.95E-05,-0.001053058,-0.000622112,0.000183803,-0.001658656,-0.001514739,-0.001043296,-0.000568188,0.00020377
782.9642944,0.000120801,0.000777948,0.001118366,0.000557242,0.000625959,-0.001354569,-0.000985809,0.000234124,-0.000750769,-0.000132154,0.000167644,-0.001157061,-0.000958689,-0.000880834,-0.000268251,0.000412611
781.9857178,0.000238087,0.000871108,0.000890873,0.000238708,0.000917124,-0.001509941,-0.000880524,0.000441839,-0.000878406,-0.000125529,4.81E-05,-0.001413246,-0.001311007,-0.000747461,0.000259248,0.000890925
781.0068359,0.000235678,0.000696139,0.000740867,0.000120076,0.000449484,-0.001508032,-0.000663365,0.000151822,-0.001038597,-0.000497864,-5.82E-05,-0.001614815,-0.001143946,-0.000764516,0.000155628,0.000663498
780.0275269,0.000258497,0.000626193,0.001092596,0.000294216,0.000711126,-0.001160624,-0.000839447,0.000348384,-0.000879026,-0.000129825,-0.000107517,-0.000980695,-0.001318492,-0.000984311,0.00031955,0.000731091
779.0478516,0.000171036,0.000661372,0.00083241,-5.66E-05,0.000214596,-0.001091843,-0.000979145,0.000705811,-0.00064186,-0.000110467,-0.000103066,-0.001447355,-0.001087969,-0.000605982,0.000535445,0.000486333
778.0678711,1.60E-05,0.000657043,0.00101558,0.000330223,0.00088195,-0.00102899,-0.001077589,0.000267692,-0.001142655,-0.000197672,-0.000298621,-0.001292528,-0.001065763,-0.001437448,0.000101071,0.000328125
776.9473877,-0.000141366,0.000730002,0.000791096,5.94E-05,0.000989712,-0.001073819,-0.000720171,0.000535341,-0.00082627,-7.34E-05,0.000185254,-0.001265531,-0.000903929,-0.000600502,-0.000119577,-8.13E-05
775.9665527,-0.000149388,0.000907007,0.000518676,-0.000328472,0.000643639,-0.001819075,-0.001296039,0.000335379,-0.001032915,-0.000900312,-0.000333904,-0.001964386,-0.000865179,-0.001218553,2.31E-05,7.13E-05
774.9854126,-0.000207452,0.000862289,0.000481409,-0.000197051,0.00079828,-0.001131863,-0.001116682,1.00E-05,-0.000541973,-0.000397064,-2.95E-05,-0.00152289,-0.00120069,-0.000997224,-0.00022634,0.000540551
774.0038452,0.000576578,0.000776289,0.000853807,-0.000488607,0.000865531,-0.001238842,-0.000636587,0.000770376,-0.000525529,-0.00011409,0.000490194,-0.000689365,-0.000885949,-0.000329662,-4.31E-05,0.000261786
773.0219727,0.000441088,0.000623263,0.000287222,-3.93E-05,0.00035499,-0.001615847,-0.000921081,0.000316545,-0.001224645,-0.000395202,-9.89E-05,-0.001385844,-0.000754076,-0.001055588,-3.82E-05,-7.00E-05
772.0396729,0.000216849,0.000482057,0.00019468,-0.000287653,0.000258393,-0.001601611,-0.000979817,0.000192893,-0.000564258,-9.33E-05,-0.00014561,-0.001289535,-0.000906822,-0.000631624,-0.000195602,0.000254456
771.0570679,0.000139833,0.000978841,0.000740504,-9.54E-05,0.000567273,-0.001187989,-0.000836501,0.00061979,-0.000683628,0.000178132,0.000169612,-0.001064471,-0.000905065,-0.000407306,3.72E-05,0.000397531
769.9335938,0.00031968,0.000520646,0.000449613,-0.000186184,0.000467856,-0.001601147,-0.000563017,0.000100113,-0.001213597,-0.000618183,-0.000259041,-0.001471297,-0.001197489,-0.000784258,0.000148326,0.000138512
768.9501953,0.000733425,0.000676176,0.000661294,-0.000101409,0.000431189,-0.00129449,-0.001037305,-6.05E-05,-0.000961944,-0.00053008,-9.08E-05,-0.001637716,-0.001055485,-0.000880937,0.000153168,0.000237465
767.9664307,0.000173315,0.000499757,0.000576656,-5.91E-05,0.00047449,-0.001266202,-0.001293354,-3.54E-05,-0.00076679,-0.00052372,-3.47E-05,-0.001698006,-0.001134858,-0.000844614,-0.000354803,0.000386935
